id_punto,nombre,tipo_punto,km,id_ruta,longitud,latitud
1,Balcó de les bruixes,Mirador,3.2,1,2.927741,41.968920
2,Font Picant,Fuente,5.6,1,2.936602,41.971252
3,Aguait d’en Turies,Cruce,4.1,2,3.113542,42.234008
4,Roca Maura,Mirador,6.8,4,3.190748,42.055646
5,Refugio Natural,Refugio,9.5,5,2.648258,42.312238
6,Puig Bassegoda,Cima,11.2,5,2.630753,42.312581
